Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
0022-42,00 24 42.9,-42 02 03,0.000,20.6,1767.,0.000,QSO radio loud steep
1Jy0022-423,00 24 42.9,-42 02 04,0.000,21.0,1830.,0.000,QSO radio loud steep
Q 0022+0231,00 24 58.3,02 48 11,1.490,18.5,0.,0.000,QSO radio quiet
C17.01,00 25 01.3,-45 29 55,0.056,15.2,0.,1.705,Seyfert type 1
Q 0022+0217,00 25 10.4,02 33 47,0.049,16.8,0.,0.000,Galaxy unbarred
Q 0022+0219,00 25 18.5,02 36 32,0.082,18.7,0.,0.000,Galaxy unbarred
S4 0022+39,00 25 26.1,39 19 35,1.949,19.5,859.,0.000,QSO radio loud flat
S40022+390,00 25 26.1,39 19 35,1.949,19.8,859.,0.000,QSO radio loud flat
Q 0022-0140,00 25 24.0,-01 23 46,0.776,18.0,0.,0.068,QSO radio quiet
0023+171C,00 25 37.0,17 28 04,0.944,21.4,3.,0.000,Radio Galaxy radio l
0023+171A,00 25 37.1,17 27 60,0.946,22.6,28.,0.000,Radio Galaxy radio l
PB 5944,00 25 37.3,00 27 23,1.902,18.3,0.,0.000,QSO radio quiet
Q 0023-0032,00 25 40.2,-00 15 32,1.354,18.2,0.,0.000,QSO radio quiet
1Jy0023-263,00 25 49.1,-26 02 12,0.322,20.5,3620.,0.000,Radio Galaxy radio q
OB-238,00 25 49.1,-26 02 12,0.322,19.5,3768.,0.000,Radio Galaxy radio q
PKS 0023-26,00 25 49.3,-26 02 13,0.322,19.5,3768.,0.000,Radio Galaxy radio q
MARK  945,00 25 54.8,-03 25 15,0.015,14.5,0.,0.000,Galaxy unbarred
Q 0023-418,00 26 01.9,-41 33 41,2.220,19.0,0.,0.000,QSO radio quiet
Q 0023+0058,00 26 20.8,01 15 17,0.274,18.1,0.,0.000,Seyfert type 1
Q 0023+0228,00 26 21.9,02 44 42,0.236,17.9,0.,0.000,QSO radio quiet
PC 0023+1653,00 26 26.2,17 09 37,0.959,19.5,0.,0.000,QSO radio quiet
S4 0024+34,00 26 41.7,35 08 43,0.333,18.1,726.,0.000,QSO radio loud flat
S40024+348,00 26 41.7,35 08 42,0.333,19.0,726.,0.000,QSO radio loud flat
UM  35,00 27 02.1,03 39 38,2.420,17.7,0.,0.000,QSO radio quiet
Q 0024+0215,00 27 12.2,02 32 04,0.076,17.9,0.,0.000,Galaxy unbarred
NAB 0024+22,00 27 15.3,22 41 59,1.108,16.6,200.,0.125,QSO radio loud flat
PB 5958,00 27 17.3,00 37 23,1.228,17.7,0.,0.000,QSO radio loud
UM  36,00 27 25.3,04 54 30,1.060,18.1,0.,0.001,QSO radio quiet
UM 245,00 27 33.8,-01 34 52,2.076,17.8,0.,0.000,QSO radio quiet
Q 0025+0152,00 27 45.6,02 08 43,0.860,18.2,0.,0.000,QSO radio quiet
Q 0025+0009,00 27 52.4,00 26 15,0.205,17.9,0.,0.000,Seyfert type 1
Q 0025-4026,00 27 51.8,-40 09 58,1.173,18.7,0.,0.000,QSO radio quiet
MARK  948,00 28 14.4,07 07 46,0.040,15.1,0.,0.000,Seyfert type 2
Q 0025-0150,00 28 27.4,-01 34 07,0.939,18.4,0.,0.000,QSO radio quiet
Q 0025-0040,00 28 31.0,-00 24 03,0.170,18.0,0.,0.000,Seyfert type 1
PB 5981,00 28 44.3,02 15 22,1.894,17.9,0.,0.000,QSO radio quiet
Q 0026-0002,00 28 56.0,00 13 60,1.604,18.0,0.,0.000,QSO radio quiet
TEX 0026+205,00 29 05.1,20 51 36,1.985,19.2,86.,0.000,QSO radio loud steep
1Jy0026+346,00 29 14.1,34 56 32,0.600,20.7,1270.,0.007,Radio Galaxy
S40026+346,00 29 14.1,34 56 32,0.600,20.7,1270.,0.007,Radio Galaxy
PG 0026+12,00 29 13.8,13 16 05,0.142,15.4,2.,1.334,Seyfert type 1
Q 0026+0213,00 29 24.3,02 30 23,0.081,18.1,0.,0.000,Galaxy unbarred
PB 5991,00 29 25.3,-01 19 59,0.322,18.0,0.,0.000,QSO radio quiet
Q 0026-392,00 29 19.7,-38 59 13,1.950,18.9,0.,0.000,QSO radio quiet
B2 0027+39,00 29 43.8,39 48 38,0.000,18.7,80.,0.000,QSO radio loud steep
UM 246,00 29 44.9,00 10 11,0.060,15.1,0.,0.000,Seyfert type 2
UM 247,00 29 52.1,02 06 05,2.333,17.8,0.,0.000,QSO radio quiet
Q 0027-0214,00 30 01.2,-01 57 44,1.588,18.5,0.,0.000,QSO radio quiet
PC 0027+0521,00 30 04.7,05 38 13,4.210,21.6,0.,0.000,QSO radio quiet
UM 248,00 30 05.1,00 28 47,1.970,19.1,0.,0.000,QSO radio quiet
Q 0027-28,00 30 01.8,-28 42 39,1.600,19.8,0.,0.000,QSO radio quiet
Q 0027+0103,00 30 08.1,01 20 11,2.310,18.3,0.,0.000,QSO radio quiet
IRAS 00275-2859,00 30 04.3,-28 42 25,0.280,16.5,20.,0.000,QSO radio loud
UM 249,00 30 13.9,01 14 04,1.468,18.1,0.,0.000,QSO radio quiet
UM  42,00 30 21.9,05 30 52,2.260,18.4,0.,0.000,QSO radio quiet
PKS 0027-426,00 30 17.6,-42 24 46,1.660,18.7,430.,0.144,QSO radio loud flat
UM 664,00 30 23.6,-18 19 56,2.550,17.9,0.,0.000,QSO radio quiet
UM 250,00 30 36.2,-01 14 43,0.672,17.1,0.,0.060,QSO radio quiet
CRSS 0030.7+2616,00 30 47.9,26 16 50,0.246,17.5,0.,0.006,Seyfert type 2
Q 0028+0236,00 30 45.2,02 53 29,2.007,17.6,0.,0.000,QSO radio quiet
Q 0028+0217,00 30 49.2,02 34 28,0.044,16.2,0.,0.000,Galaxy unbarred
UM 251,00 30 59.4,-01 31 49,2.081,18.2,0.,0.000,QSO radio quiet
PB 6003,00 31 00.8,-00 44 31,0.543,18.1,0.,0.000,QSO radio quiet
Q 0028+0026,00 31 01.4,00 43 30,0.963,18.2,0.,0.000,QSO radio quiet
Q 0028+0215,00 31 16.2,02 32 06,0.197,18.0,0.,0.000,Galaxy unbarred
UM 252,00 31 31.5,00 34 20,1.732,18.3,0.,0.000,QSO radio quiet
UM 254,00 31 34.3,-02 09 18,0.044,16.4,0.,0.000,Starburst galaxy
UM 253,00 31 35.6,00 34 20,2.222,18.3,0.,0.000,QSO radio quiet
PKS 0029-414,00 31 28.0,-41 08 13,0.896,17.8,210.,0.000,QSO radio loud flat
Q 0029-0152,00 31 36.5,-01 36 22,2.383,18.4,0.,0.000,QSO radio loud
UM 665,00 31 43.4,-11 52 42,2.650,18.3,0.,0.000,QSO radio quiet
Q 0029+0218,00 32 12.7,02 35 05,0.082,17.0,0.,0.000,Galaxy unbarred
0029+0722,00 32 18.3,07 38 33,3.262,17.9,0.,0.000,QSO radio quiet
0029+0130,00 32 18.3,01 47 01,0.095,17.6,0.,0.000,Galaxy unbarred
UM  45,00 33 05.3,03 41 23,1.982,18.1,0.,0.000,QSO radio quiet
Q 0030+0215,00 33 20.8,02 32 15,0.045,17.3,0.,0.000,Galaxy unbarred
UM  46,00 33 37.2,03 50 60,2.310,18.7,18.,0.000,QSO radio loud flat
E 0031-077,00 33 45.2,-07 25 38,0.388,18.5,0.,0.033,QSO radio quiet
B15.01,00 33 59.3,-38 47 17,0.000,16.7,0.,0.178,Seyfert type 1
PB 8357,00 34 17.9,-07 21 47,0.291,17.9,0.,0.037,QSO radio quiet
MC4 0031-70,00 34 05.3,-70 25 52,0.363,15.2,95.,0.000,QSO radio loud steep
A17.16,00 34 26.8,-37 12 52,3.180,17.9,0.,0.000,QSO radio quiet
PB 8364,00 34 41.9,-07 06 17,0.752,18.0,0.,0.039,QSO radio quiet
IRAS 00321-0018,00 34 43.5,-00 02 28,0.043,13.5,21.,0.000,Seyfert type 2
NGC 157#1,00 34 46.3,-08 23 47,0.756,18.7,0.,0.000,QSO radio quiet
UM 259,00 34 51.8,-01 11 26,1.839,16.7,0.,0.000,QSO radio quiet
Q 0032-413,00 34 46.9,-41 04 34,1.540,18.6,0.,0.000,QSO radio quiet
4C 42.01,00 35 06.0,42 38 19,1.588,18.0,122.,0.000,QSO radio loud steep
Q 0032-424,00 35 22.4,-42 13 05,2.340,18.6,0.,0.000,QSO radio quiet
1ES0033+595,00 35 52.7,59 50 04,0.000,19.5,66.,11.981,BL Lac
MC 0033+156,00 35 55.7,15 53 18,1.160,17.7,141.,0.058,QSO radio loud steep
IRAS 00333-8156,00 34 46.2,-81 39 59,0.127,15.2,0.,0.000,Seyfert type 2
Q 0033+0220,00 35 56.8,02 37 12,0.154,18.7,0.,0.000,Galaxy unbarred
3C  14.0,00 36 06.4,18 37 58,1.468,19.7,610.,0.060,QSO radio loud steep
ZW 0033+45,00 36 21.0,45 39 54,0.048,14.2,0.,0.000,Seyfert type 1
4C 08.04,00 36 16.2,08 15 04,1.578,18.2,132.,0.000,QSO radio loud steep
HBQS0033-35,00 36 11.5,-35 07 29,0.409,18.1,0.,0.000,QSO radio quiet
Q 0033-3524,00 36 11.6,-35 07 29,0.409,18.1,0.,0.000,QSO radio quiet
4C 09.01,00 36 23.9,10 07 59,1.909,17.7,460.,0.000,QSO radio loud flat
Q 0033+0119,00 36 23.2,01 35 50,0.065,17.8,0.,0.000,Galaxy unbarred
HBQS0033-35,00 36 17.7,-35 15 12,0.000,18.3,0.,0.000,unidentified
HBQS0033-32,00 36 23.4,-32 10 52,2.174,17.2,0.,0.000,QSO radio quiet
Q 0033-3227,00 36 23.5,-32 10 53,2.174,17.2,0.,0.000,QSO radio quiet
HBQS0034-33,00 36 38.5,-32 52 34,2.180,17.6,0.,0.000,QSO radio quiet
Q 0034-3308,00 36 38.6,-32 52 36,2.180,17.6,0.,0.000,QSO radio quiet
ESO 350-IG38,00 36 52.9,-33 33 29,0.020,14.4,7.,0.000,Starburst galaxy
UM  52,00 37 02.0,02 44 07,2.270,17.7,0.,0.000,QSO radio quiet
1Jy0034-014,00 37 03.8,-01 09 04,0.073,15.3,1590.,0.052,Radio Galaxy radio l
3C15,00 37 04.0,-01 09 07,0.073,17.0,1573.,0.052,Radio Galaxy radio l
5C 03.44,00 37 36.7,39 38 10,1.937,18.0,129.,0.100,QSO radio loud flat
MARK  955,00 37 35.8,00 16 51,0.035,14.1,0.,0.000,Seyfert type 2
4C 36.01,00 37 46.2,36 59 11,0.366,17.7,429.,0.000,QSO radio loud steep
PKS 0035+23,00 37 58.3,24 07 10,2.270,18.7,450.,0.032,QSO radio loud steep
BR 0035-25,00 37 58.7,-25 13 31,4.150,18.6,0.,0.000,QSO radio quiet
Q 0035-3518,00 38 05.4,-35 01 42,1.199,17.6,0.,0.000,QSO radio quiet
HBQS0035-35,00 38 05.4,-35 01 41,1.199,17.6,0.,0.000,QSO radio quiet
S40035+413,00 38 24.8,41 37 04,1.353,19.9,636.,0.100,QSO radio loud flat
S4 0035+41,00 38 24.9,41 37 06,1.353,19.6,636.,0.100,QSO radio loud flat
Q 0035-4213,00 38 08.9,-41 57 25,2.620,18.0,0.,0.000,QSO radio quiet
PKS 0035-252,00 38 14.7,-24 59 02,1.196,17.2,440.,0.288,QSO radio loud flat
1Jy0035-024,00 38 20.2,-02 07 35,0.220,18.0,2690.,0.192,QSO radio loud steep
3C  17.0,00 38 20.5,-02 07 40,0.220,18.0,2592.,0.192,QSO radio loud steep
3C17,00 38 20.5,-02 07 40,0.220,18.0,2592.,0.192,QSO radio loud steep
HBQS0035-32,00 38 14.8,-32 34 23,0.458,18.2,0.,0.000,QSO radio quiet
Q 0035-3250,00 38 14.9,-32 34 23,0.458,18.2,0.,0.000,QSO radio quiet
S10721,00 38 33.1,41 28 50,0.072,16.4,0.,0.693,QSO radio loud
UM 261,00 38 23.8,-00 00 24,1.670,17.7,0.,0.000,QSO radio quiet
HBQS0035-35,00 38 17.2,-35 04 05,1.519,18.3,0.,0.000,QSO radio quiet
Q 0035-3520,00 38 17.3,-35 04 06,1.519,18.3,0.,0.000,QSO radio quiet
HBQS0035-33,00 38 20.4,-33 07 17,1.042,17.9,0.,0.000,QSO radio quiet
Q 0035-3323,00 38 20.5,-33 07 17,1.042,17.9,0.,0.000,QSO radio quiet
HBQS0035-34,00 38 20.1,-34 22 00,1.335,18.3,0.,0.000,QSO radio quiet
Q 0035-3438,00 38 20.3,-34 22 00,1.335,18.3,0.,0.000,QSO radio quiet
PKS 0035-39,00 38 27.0,-38 59 49,0.596,16.3,440.,0.000,QSO radio loud steep
HBQS0036-36,00 38 27.8,-36 24 26,0.403,17.5,0.,0.000,QSO radio quiet
Q 0036-3640,00 38 27.9,-36 24 27,0.403,17.5,0.,0.000,QSO radio quiet
HBQS0036-35,00 38 29.0,-35 09 20,0.000,17.5,0.,0.000,unidentified
Q 0036+0215,00 38 39.7,02 31 51,0.388,18.3,0.,0.000,Galaxy unbarred
HBQS0036-34,00 38 46.8,-34 10 27,0.840,18.2,0.,0.000,QSO radio quiet
Q 0036-3426,00 38 46.9,-34 10 28,0.840,18.2,0.,0.000,QSO radio quiet
MS 00365+2103,00 39 07.0,21 20 23,1.250,18.4,0.,0.056,QSO radio quiet
HBQS0036-35,00 38 59.2,-35 19 35,1.853,18.3,0.,0.000,QSO radio quiet
Q 0036-4028,00 38 57.9,-40 11 44,2.500,20.1,0.,0.000,QSO radio quiet
Q 0036-3535,00 38 59.5,-35 19 35,1.853,18.3,0.,0.000,QSO radio quiet
S50036+744,00 39 48.7,74 43 24,0.000,0.0,285.,0.000,unidentified
Q 0036-3857,00 39 14.6,-38 40 45,2.260,19.9,0.,0.000,QSO radio quiet
W  7,00 39 16.0,-51 16 59,0.029,15.3,0.,1.739,Seyfert type 1
Q 0036-4252,00 39 20.4,-42 36 06,1.590,19.7,0.,0.000,QSO radio quiet
HBQS0037-37,00 39 29.4,-36 51 34,0.811,18.0,0.,0.000,QSO radio quiet
Q 0037-3708,00 39 29.5,-36 51 35,0.811,18.0,0.,0.000,QSO radio quiet
HBQS0037-35,00 39 37.0,-35 29 17,1.095,18.5,0.,0.000,QSO radio quiet
Q 0037-3545,00 39 37.1,-35 29 17,1.095,18.5,0.,0.000,QSO radio quiet
Q 0037+0119,00 39 46.3,01 35 40,0.065,21.0,0.,0.000,Galaxy unbarred
MS 00372-0228,00 39 48.3,-02 12 06,0.416,19.0,0.,0.059,QSO radio quiet
HBQS0037-34,00 39 42.7,-34 19 41,1.599,18.3,0.,0.000,QSO radio quiet
HBQS0037-35,00 39 42.4,-35 28 01,0.836,17.9,0.,0.099,QSO radio loud
Q 0037-3436,00 39 42.8,-34 19 42,1.599,18.3,0.,0.000,QSO radio quiet
Q 0037-3544,00 39 42.5,-35 28 02,0.836,17.9,0.,0.099,QSO radio loud
HBQS0037-39,00 39 42.3,-39 29 14,1.464,18.3,0.,0.000,QSO radio quiet
Q 0037-3945,00 39 42.4,-39 29 14,1.464,18.3,0.,0.000,QSO radio quiet
1ES0037+405N,00 40 13.8,40 50 05,0.000,19.3,18.,0.178,BL Lac
HBQS0037-37,00 39 59.9,-37 42 10,1.772,19.1,0.,0.000,QSO radio quiet
Q 0037-3758,00 39 60.0,-37 42 10,1.772,19.1,0.,0.000,QSO radio quiet
HBQS0037-33,00 40 04.7,-33 10 42,1.172,17.8,0.,0.000,QSO radio quiet
Q 0037-3327,00 40 04.8,-33 10 42,1.172,17.8,0.,0.000,QSO radio quiet
2E 0037+0607,00 40 17.2,06 23 42,0.063,17.0,0.,0.276,Seyfert type 1
MS 00377-0156,00 40 17.9,-01 40 15,0.296,17.7,0.,0.031,QSO radio quiet
UM 264,00 40 18.2,-01 37 22,2.340,19.6,0.,0.019,QSO radio quiet
HBQS0037-39,00 40 10.5,-39 16 26,0.473,18.6,0.,0.000,QSO radio quiet
Q 0037-3932,00 40 10.6,-39 16 27,0.473,18.6,0.,0.000,QSO radio quiet
Q 0037-3939,00 40 11.1,-39 23 13,1.440,19.1,0.,0.000,QSO radio quiet
HBQS0037-41,00 40 10.5,-41 32 29,1.273,17.2,0.,0.000,QSO radio quiet
Q 0037-4148,00 40 10.8,-41 32 26,1.273,17.2,0.,0.000,QSO radio quiet
NAB 0037+18,00 40 35.5,18 16 41,0.092,17.4,0.,0.000,Galaxy unbarred
MS 00380+3242,00 40 42.2,32 58 29,0.197,18.1,0.,0.043,Galaxy unbarred
Q 0038+0122,00 40 40.2,01 39 18,0.066,17.6,0.,0.000,Galaxy unbarred
UM 265,00 40 41.4,-00 55 36,2.130,17.7,0.,0.000,QSO radio quiet
1Jy0038+328,00 40 55.0,33 10 08,0.482,20.5,1240.,0.038,Radio Galaxy radio l
1Jy0038+097,00 40 50.2,10 03 20,0.188,18.5,1700.,0.299,QSO radio loud steep
Q 0038-3828,00 40 39.2,-38 12 17,2.010,19.3,0.,0.000,QSO radio quiet
3C18,00 40 50.3,10 03 23,0.188,18.5,1620.,0.299,QSO radio loud steep
3C  18.0,00 40 50.6,10 03 28,0.188,18.5,1620.,0.299,QSO radio loud steep
HBQS0038-38,00 40 39.7,-38 21 39,0.135,16.6,0.,0.000,QSO radio quiet
Q 0038-3838,00 40 39.9,-38 21 40,0.135,16.6,0.,0.000,QSO radio quiet
Q 0038-3954,00 40 40.0,-39 38 32,1.210,19.6,0.,0.000,QSO radio quiet
Q 0038-3953,00 40 40.8,-39 37 04,2.310,18.5,0.,0.000,QSO radio quiet
HBQS0038-34,00 40 43.7,-34 39 57,0.199,16.9,0.,0.519,Starburst galaxy
Q 0038-3715,00 40 44.8,-36 59 23,2.500,20.3,0.,0.000,QSO radio quiet
Q 0038-3936,00 40 46.9,-39 20 18,2.370,18.3,0.,0.000,QSO radio quiet
PKS 0038-020,00 40 57.6,-01 46 31,1.176,18.1,790.,0.079,QSO radio loud flat
Q 0038-4041,00 40 49.5,-40 25 14,2.960,18.8,0.,0.000,QSO radio quiet
Q 0038-3937,00 40 54.7,-39 21 17,2.220,20.0,0.,0.000,QSO radio quiet
HBQS0038-39,00 40 57.1,-38 46 18,0.704,18.2,0.,0.000,QSO radio quiet
Q 0038-3902,00 40 57.2,-38 46 18,0.704,18.2,0.,0.000,QSO radio quiet
MS 00387+3251,00 41 26.2,33 07 49,0.225,18.5,0.,0.062,Galaxy unbarred
Q 0038-4006,00 41 10.1,-39 50 26,1.940,19.4,0.,0.000,QSO radio quiet
PKS 0038-019,00 41 25.9,-01 43 15,1.674,18.2,280.,0.055,QSO radio loud steep
HBQS0039-36,00 41 27.6,-35 56 54,1.468,18.1,0.,0.000,QSO radio quiet
Q 0039-362,00 41 27.7,-35 56 54,1.468,18.1,0.,0.000,QSO radio quiet
Q 0039-4230,00 41 26.2,-42 14 19,2.210,19.6,0.,0.000,QSO radio quiet
MS 00390-0145,00 41 38.9,-01 29 03,0.110,17.9,0.,0.038,Seyfert type 1
HBQS0039-34,00 41 31.4,-33 56 19,0.585,18.0,0.,0.000,QSO radio quiet
Q 0039-3412,00 41 31.6,-33 56 19,0.585,18.0,0.,0.000,QSO radio quiet
A85-F,00 41 37.8,-09 21 33,0.045,0.0,0.,0.000,Seyfert type 2
MARK  957,00 41 53.4,40 21 17,0.073,15.1,0.,0.191,Seyfert type 1
G18.01,00 41 31.5,-49 36 12,3.240,17.6,0.,0.000,QSO radio quiet
MS 00392-0206,00 41 46.8,-01 50 01,1.340,19.0,6.,0.030,QSO radio loud flat
ESO 012-G21,00 40 47.9,-79 14 27,0.033,14.4,0.,1.713,Seyfert type 1
HBQS0039-39,00 41 44.3,-39 14 25,1.624,17.8,0.,0.000,QSO radio quiet
Q 0039-3930,00 41 44.7,-39 14 25,1.624,17.8,0.,0.000,QSO radio quiet
HBQS0039-39,00 41 46.3,-39 31 33,1.466,18.0,0.,0.000,QSO radio quiet
Q 0039-3947,00 41 46.6,-39 31 32,1.466,18.0,0.,0.000,QSO radio quiet
Q 0039-3836,00 41 50.6,-38 20 09,1.740,19.5,98.,0.000,QSO radio loud flat
OB 565,00 42 19.6,57 08 38,1.141,17.7,649.,0.000,QSO radio loud flat
IV ZW 29,00 42 16.1,40 19 36,0.102,16.3,0.,0.511,Seyfert type 1
Q 0039-4004,00 41 58.0,-39 47 56,2.910,18.9,0.,0.000,QSO radio quiet
HBQS0039-39,00 41 59.6,-39 21 46,1.848,17.6,0.,0.000,QSO radio loud
Q 0039-3938,00 41 59.9,-39 21 47,1.848,17.6,0.,0.000,QSO radio loud
CT  15,00 42 04.3,-26 14 06,1.810,17.2,0.,0.000,QSO radio quiet
Q 0039-2831,00 42 06.7,-28 15 14,1.860,19.2,0.,0.000,QSO radio quiet
Q 0039-2822,00 42 08.5,-28 06 24,1.900,19.6,0.,0.000,QSO radio quiet
HBQS0039-40,00 42 07.0,-40 05 34,1.933,18.1,0.,0.000,QSO radio quiet
UM 666,00 42 16.5,-02 54 22,2.740,18.2,0.,0.000,QSO radio loud
Q 0039-4022,00 42 07.3,-40 05 34,1.933,18.1,0.,0.000,QSO radio quiet
2E 0039-0158,00 42 20.0,-01 41 53,0.350,15.5,0.,0.033,Seyfert type 1
0039-44,00 42 08.8,-44 14 01,0.346,18.5,1173.,0.000,Radio Galaxy
PKS 0039-44,00 42 09.0,-44 14 02,0.346,18.5,1173.,0.000,Radio Galaxy
1Jy0039-445,00 42 09.4,-44 14 15,0.346,19.5,1210.,0.000,Radio Galaxy
Q 0039-2727,00 42 17.6,-27 11 02,1.407,18.3,0.,0.000,QSO radio quiet
HBQS0039-33,00 42 16.2,-33 37 55,2.480,18.0,0.,0.000,QSO radio quiet
Q 0039-3354,00 42 16.3,-33 37 55,2.480,18.0,0.,0.000,QSO radio quiet
Q 0039-304,00 42 19.9,-30 11 08,2.210,20.2,0.,0.000,QSO radio quiet
MARK 1143,00 42 33.9,03 15 23,0.037,14.4,16.,0.000,Starburst galaxy
M 31,00 42 45.1,41 16 22,0.000,10.6,2460.,0.067,Spiral galaxy
MARK 1144,00 42 37.2,03 14 21,0.037,16.4,13.,0.000,Starburst galaxy
Q 0040-279,00 42 39.6,-27 42 00,3.230,19.2,0.,0.000,QSO radio quiet
Q 0040-3947,00 42 37.0,-39 30 46,2.250,19.6,0.,0.000,QSO radio quiet
Q 0040-2606,00 42 42.1,-25 50 09,2.470,19.1,0.,0.000,QSO radio quiet
Q 0040-3356,00 42 40.7,-33 39 20,2.060,18.9,0.,0.000,QSO radio loud
UM  63,00 42 49.9,02 36 50,0.019,16.2,0.,0.000,Starburst galaxy
HBQS0040-37,00 42 43.7,-36 47 42,2.720,17.9,0.,0.000,QSO radio quiet
Q 0040-3703,00 42 43.9,-36 47 41,2.720,17.9,0.,0.000,QSO radio quiet
Q 0040-2737,00 42 47.0,-27 21 00,2.430,19.4,0.,0.000,QSO radio quiet
S40040+517,00 43 08.8,52 03 32,0.174,19.0,4180.,0.000,Radio Galaxy radio l
1Jy0040+517,00 43 08.8,52 03 32,0.174,19.0,4240.,0.000,Radio Galaxy radio l
3C20,00 43 09.2,52 03 35,0.174,20.0,4177.,0.000,Radio Galaxy radio l
UM 268,00 42 55.3,-01 25 36,1.660,17.7,0.,0.000,QSO radio quiet
NGC  235,00 42 52.5,-23 32 34,0.022,13.6,0.,0.015,Seyfert type 1
HBQS0040-37,00 42 57.3,-37 15 31,1.780,17.8,0.,0.000,QSO radio quiet
Q 0040-3731,00 42 57.4,-37 15 31,1.780,17.8,0.,0.000,QSO radio quiet
HBQS0040-37,00 42 57.4,-37 15 33,1.780,17.7,0.,0.000,QSO radio quiet
HBQS0040-30,00 42 59.6,-30 07 43,0.609,17.7,0.,0.039,QSO radio quiet
Q 0040-283,00 43 00.4,-28 05 45,2.330,19.0,0.,0.000,QSO radio quiet
Q 0040-3024,00 42 59.9,-30 07 42,0.609,17.7,0.,0.039,QSO radio loud
IRAS 00406-3127,00 43 02.9,-31 10 46,0.342,0.0,0.,0.000,Seyfert type 2
Q 0040-3911,00 43 01.7,-38 54 44,1.880,18.9,0.,0.000,QSO radio quiet
Q 0040-4252,00 43 02.1,-42 36 00,2.070,19.9,0.,0.000,QSO radio quiet
Q 0040-303,00 43 07.6,-30 06 43,3.030,19.9,0.,0.000,QSO radio quiet
HBQS0040-29,00 43 08.0,-29 00 56,2.087,17.5,0.,0.010,QSO radio quiet
Q 0040-2937,00 43 08.3,-29 21 20,2.190,19.3,0.,0.000,QSO radio quiet
Q 0040-2917,00 43 08.5,-29 00 55,2.087,17.5,0.,0.010,QSO radio quiet
S50040+734,00 43 58.5,73 44 10,0.000,19.5,248.,0.415,QSO radio loud steep
Q 0040-3819,00 43 07.7,-38 03 31,2.160,19.5,0.,0.000,QSO radio quiet
Q 0040-3015A,00 43 10.3,-29 59 20,2.840,19.6,0.,0.000,QSO radio quiet
Q 0040-3015B,00 43 10.9,-29 58 49,2.150,20.1,0.,0.000,QSO radio quiet
Q 0040-4125,00 43 07.3,-41 08 49,1.530,19.2,0.,0.000,QSO radio quiet
Q 0040-3828,00 43 09.2,-38 12 10,2.630,19.9,0.,0.000,QSO radio quiet
UM 269,00 43 19.8,00 51 16,2.000,17.7,0.,0.156,QSO radio quiet
HBQS0040-29,00 43 12.9,-29 03 13,0.624,18.1,0.,0.000,QSO radio quiet
Q 0040-2919,00 43 13.4,-29 03 14,0.624,18.1,0.,0.000,QSO radio quiet
Q 0040-2910,00 43 14.7,-28 54 00,2.290,19.7,0.,0.000,QSO radio quiet
HBQS0040-30,00 43 17.2,-30 01 35,0.496,18.1,0.,0.000,QSO radio quiet
Q 0040-3018,00 43 17.4,-30 01 36,0.496,18.1,0.,0.000,QSO radio quiet
HBQS0040-26,00 43 22.3,-26 39 04,1.002,17.1,81.,0.062,QSO radio loud flat
Q 0040-2655,00 43 22.4,-26 39 05,1.002,17.1,81.,0.062,QSO radio loud flat
Q 0040-3930,00 43 22.4,-39 14 18,1.700,19.2,0.,0.000,QSO radio quiet
PKS 0041+001,00 43 32.5,00 24 60,1.127,19.0,129.,0.000,QSO radio loud flat
Q 0041-4023,00 43 28.0,-40 07 34,2.476,19.9,0.,0.000,QSO radio quiet
Q 0041-3045A,00 43 34.5,-30 29 04,1.230,19.6,0.,0.000,QSO radio quiet
Q 0041-3827,00 43 33.3,-38 10 38,1.280,19.6,0.,0.000,QSO radio quiet
Q 0041-262,00 43 38.5,-25 56 25,1.720,20.0,0.,0.000,QSO radio quiet
Q 0041-4002,00 43 34.4,-39 46 25,1.940,19.1,0.,0.000,QSO radio quiet
Q 0041-3021,00 43 39.7,-30 04 50,2.080,19.2,0.,0.000,QSO radio quiet
HBQS0041-34,00 43 38.4,-34 17 46,1.478,18.2,0.,0.000,QSO radio quiet
Q 0041-3434,00 43 38.5,-34 17 47,1.478,18.2,0.,0.000,QSO radio quiet
HBQS0041-37,00 43 37.8,-37 33 53,1.070,17.7,0.,0.000,QSO radio quiet
Q 0041-3750,00 43 38.0,-37 33 54,1.070,17.7,0.,0.000,QSO radio quiet
PKS 0041-395,00 43 37.6,-39 14 15,1.690,19.7,128.,0.000,QSO radio loud steep
HBQS0041-26,00 43 42.4,-26 22 08,3.053,18.0,0.,0.000,QSO radio quiet
Q 0041-2638,00 43 42.8,-26 22 11,3.053,18.0,0.,0.000,QSO radio quiet
Q 0041-2608,00 43 44.9,-25 52 02,2.450,18.7,0.,0.000,QSO radio quiet
Q 0041-4040,00 43 41.3,-40 23 51,1.630,19.5,0.,0.000,QSO radio quiet
Q 0041-309,00 43 45.3,-30 37 39,2.830,19.6,0.,0.000,QSO radio quiet
Q 0041-2622,00 43 47.3,-26 06 20,2.170,18.9,0.,0.010,QSO radio quiet
Q 0041-3047,00 43 48.3,-30 30 51,2.230,20.4,0.,0.000,QSO radio quiet
HBQS0041-28,00 43 50.9,-28 27 40,0.839,17.9,81.,0.000,QSO radio loud flat
