Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
PB 5820,00 15 04.4,-00 54 39,0.647,17.9,0.,0.000,QSO radio quiet
Q 0012-0024,00 15 07.0,-00 08 01,1.701,18.3,24.,0.000,QSO radio loud flat
Q 0012+0219,00 15 10.0,02 35 48,0.362,19.6,0.,0.000,Galaxy unbarred
PB 5821,00 15 10.7,02 18 51,1.683,18.4,0.,0.000,QSO radio quiet
UM  24,00 15 27.3,06 40 30,3.170,17.7,0.,0.000,QSO radio quiet
Q 0013+0220,00 15 43.4,02 37 08,0.059,17.0,0.,0.000,Galaxy unbarred
Q 0013-3940,00 15 44.9,-39 22 51,0.980,18.6,0.,0.000,QSO radio quiet
Q 0013+0213,00 15 55.1,02 30 23,1.547,16.1,0.,0.000,QSO radio quiet
Q 0013-401,00 15 54.9,-39 51 02,1.600,17.7,0.,0.000,QSO radio quiet
UM 224,00 16 02.4,-00 12 25,2.086,18.2,0.,0.000,QSO radio quiet
Q 0013-0300,00 16 02.4,-02 43 31,1.249,18.4,0.,0.000,QSO radio quiet
Q 0013+0103,00 16 06.5,01 20 05,1.641,16.9,0.,0.000,QSO radio quiet
PB 5830,00 16 07.1,01 55 08,1.665,18.2,0.,0.000,QSO radio quiet
1Jy0013+790,00 16 30.9,79 16 50,0.840,22.0,1070.,0.000,Radio Galaxy radio l
S50013+790,00 16 32.7,79 16 50,0.840,22.0,1044.,0.000,Radio Galaxy
PKS 0013-00,00 16 10.9,-00 15 13,1.574,19.5,790.,0.000,QSO radio loud flat
S5 0014+81,00 17 08.1,81 35 07,3.384,16.2,551.,0.414,QSO radio loud flat
S50014+813,00 17 08.4,81 35 08,3.384,16.5,551.,0.414,QSO radio loud flat
Q 0014+0122,00 16 42.8,01 39 27,0.291,18.2,0.,0.000,QSO radio quiet
UM 661,00 16 42.8,-04 04 18,1.947,0.0,0.,0.000,QSO
B2 0014+31A,00 17 02.0,32 09 23,1.086,18.2,110.,0.000,QSO radio loud steep
Q 0014+1559,00 17 10.5,16 15 44,2.200,0.0,0.,0.000,QSO
Q 0014-392,00 17 10.3,-38 56 27,2.347,18.5,0.,0.000,QSO radio quiet
SA68 #110,00 17 15.7,15 52 54,0.780,19.4,0.,0.000,QSO radio quiet
Q 0014-0256,00 17 21.2,-02 39 20,1.862,18.4,0.,0.000,QSO radio quiet
SA68 #105,00 17 24.1,15 52 40,0.710,20.6,0.,0.000,Galaxy unbarred
SA68 #090,00 17 25.9,15 51 49,1.000,21.1,0.,0.000,Galaxy unbarred
SA68 #094,00 17 30.7,15 51 59,1.080,19.3,0.,0.000,QSO radio quiet
SA68 #143,00 17 33.3,15 55 09,2.110,20.7,0.,0.000,QSO radio quiet
SA68 #095,00 17 35.7,15 52 03,1.240,21.3,0.,0.000,QSO radio quiet
00151+160,00 17 45.1,16 19 52,2.200,19.6,0.,0.093,QSO radio quiet
Q 0015+0119,00 17 45.9,01 36 20,0.236,17.7,0.,0.304,Seyfert type 1
C17.06,00 17 46.0,-45 26 12,0.000,16.4,0.,0.212,Seyfert type 1
Q 0015+0239,00 18 11.4,02 56 39,2.469,18.4,0.,0.000,QSO radio quiet
SN 1991 AP,00 18 23.8,32 00 36,1.149,18.7,0.,0.000,QSO radio quiet
SA 68 D,00 18 23.2,15 40 14,0.690,18.7,0.,0.028,QSO radio quiet
PB 5853,00 18 22.1,01 19 01,0.160,16.6,0.,0.344,Seyfert type 1
RXJ00184+2947,00 18 27.8,29 47 30,0.000,18.5,13.,1.076,BL Lac
00159+155,00 18 30.0,15 52 27,2.300,20.3,0.,0.000,QSO radio quiet
E 0015+162,00 18 31.9,16 29 26,0.554,18.8,0.,0.000,QSO radio quiet
IRAS 00160-0719,00 18 36.7,-07 02 49,0.018,14.1,1.,0.000,Seyfert type 2
